,SubID,time,MAXAQI,PM10Iaqi,PM10value,PM2_5Iaqi,PM2_5value,COIaqi,COvalue,NO2Iaqi,NO2value,SO2Iaqi,SO2value,O3_1Iaqi,O3_1value,O3_8Iaqi,O3_8value
0,1,2020-12-25 20:00:00,168,114,178,168,127,12,1168,46,92,10,28,8,23,29,58
1,2,2020-12-25 20:00:00,133,103,156,133,101,12,1187,47,93,8,23,10,29,30,59
2,3,2020-12-25 20:00:00,148,107,164,148,113,20,1943,53,105,8,24,2,5,26,52
3,4,2020-12-25 20:00:00,0,,,,,,,,,,,,,,
4,5,2020-12-25 20:00:00,153,107,163,153,117,19,1900,32,64,16,47,19,60,39,77
5,6,2020-12-25 20:00:00,124,92,133,124,94,17,1648,55,109,6,18,3,8,29,57
6,7,2020-12-25 20:00:00,152,119,187,152,116,17,1662,53,106,20,59,3,8,23,46
7,8,2020-12-25 20:00:00,156,117,183,156,119,12,1101,21,42,8,22,24,75,39,77
8,362,2020-12-25 20:00:00,0,,,,,,,,,,,,,,
9,363,2020-12-25 20:00:00,142,108,165,142,108,10,963,15,29,7,19,27,85,41,81
10,364,2020-12-25 20:00:00,130,96,142,130,99,8,797,18,35,6,17,28,89,41,81
11,365,2020-12-25 20:00:00,125,92,134,125,95,11,1074,27,53,6,17,15,48,34,67
12,366,2020-12-25 20:00:00,122,99,147,122,92,11,1098,44,87,9,25,9,27,27,54
13,368,2020-12-25 20:00:00,147,108,165,147,112,12,1157,38,76,7,19,10,30,24,48
14,371,2020-12-25 20:00:00,75,75,99,74,54,8,782,12,23,6,17,25,80,37,74
15,9929,2020-12-25 20:00:00,139,110,169,139,106,16,1519,32,64,6,18,15,46,39,78
16,9930,2020-12-25 20:00:00,139,109,168,139,106,12,1109,19,37,9,26,20,64,34,67
17,12110,2020-12-25 20:00:00,293,173,295,293,243,16,1576,39,78,19,56,5,13,23,45
18,12111,2020-12-25 20:00:00,308,198,346,308,258,27,2664,49,98,39,117,3,7,24,48
19,12112,2020-12-25 20:00:00,224,161,272,224,174,17,1683,53,105,11,33,2,6,22,44
20,12113,2020-12-25 20:00:00,280,165,279,280,230,25,2471,37,74,23,67,5,16,24,47
21,12114,2020-12-25 20:00:00,285,222,365,285,235,26,2597,53,106,43,129,2,5,22,44
22,12115,2020-12-25 20:00:00,212,181,312,212,162,23,2241,43,85,16,46,4,10,23,45
23,12116,2020-12-25 20:00:00,235,190,329,235,185,21,2002,44,88,31,92,2,6,21,42
24,12117,2020-12-25 20:00:00,175,119,188,175,132,18,1730,33,66,10,28,4,12,29,58
25,12118,2020-12-25 20:00:00,160,123,196,160,122,,,38,75,20,59,,,,
26,12119,2020-12-25 20:00:00,193,137,223,193,145,,,49,98,9,25,,,,
27,12120,2020-12-25 20:00:00,244,167,283,244,194,,,48,95,19,56,,,,
28,12151,2020-12-25 20:00:00,0,,,,,,,,,,,,,,
29,12152,2020-12-25 20:00:00,153,123,195,153,117,14,1358,33,65,26,77,13,40,32,64
30,12153,2020-12-25 20:00:00,193,145,239,193,145,19,1815,43,86,19,56,2,4,18,36
31,12154,2020-12-25 20:00:00,222,172,294,222,172,19,1846,33,66,12,36,2,4,19,37
32,12155,2020-12-25 20:00:00,0,,,,,,,,,,,,,,
33,12492,2020-12-25 20:00:00,143,106,162,143,109,12,1174,54,107,29,86,2,5,15,30
34,12493,2020-12-25 20:00:00,144,101,151,144,110,9,870,21,41,6,18,24,76,38,76
35,12494,2020-12-25 20:00:00,133,103,156,133,101,20,1976,32,64,51,152,7,20,30,59
