,strSubID,strHourAvg,strValueAvg
0,371,50,50
1,12118,--,--
2,12119,--,--
3,12120,--,--
4,12494,66,66
5,18020,63,63
6,2,45,45
7,364,69,69
8,368,56,56
9,12493,71,71
10,12495,67,67
11,12572,69,69
12,15040,53,53
13,15041,61,61
14,15042,62,62
15,15043,54,54
16,15044,65,65
17,15045,55,55
18,15046,55,55
19,15047,58,58
20,15048,61,61
21,5,52,52
22,363,63,63
23,15049,66,66
24,15050,63,63
25,15058,57,57
26,15059,62,62
27,15060,55,55
28,15061,61,61
29,15062,56,56
30,15063,52,52
31,15064,61,61
32,15065,66,66
33,15066,63,63
34,15067,59,59
35,15068,62,62
36,15069,66,66
37,15070,66,66
38,15071,74,74
39,7,56,56
40,12492,71,71
41,12792,67,67
42,15072,61,61
43,15073,58,58
44,15074,59,59
45,15075,62,62
46,15076,60,60
47,15077,63,63
48,15078,58,58
49,15079,63,63
50,15080,59,59
51,15081,66,66
52,15082,59,59
53,15083,61,61
54,1,47,47
55,15084,54,54
56,15085,54,54
57,15086,53,53
58,15087,54,54
59,15088,55,55
60,15089,54,54
61,15090,55,55
62,15095,57,57
63,15097,60,60
64,15099,67,67
65,18821,57,57
66,18966,57,57
67,3,45,45
68,366,61,61
69,12573,60,60
70,15100,54,54
71,15101,56,56
72,15102,59,59
73,15103,63,63
74,15104,62,62
75,15105,69,69
76,15106,61,61
77,15107,60,60
78,15108,64,64
79,16503,59,59
80,16504,58,58
81,8,52,52
82,15109,66,66
83,15110,61,61
84,15111,70,70
85,15112,67,67
86,15113,57,57
87,15114,65,65
88,15115,66,66
89,15116,50,50
90,6,46,46
91,365,67,67
92,15166,61,61
93,15167,63,63
94,15169,72,72
95,17700,58,58
96,12110,45,45
97,12111,44,44
98,12112,39,39
99,12113,46,46
100,12117,46,46
101,12153,51,51
102,12154,58,58
103,13271,56,56
104,13272,48,48
105,13275,45,45
106,13276,44,44
107,13277,42,42
108,13278,46,46
109,12115,45,45
110,12116,52,52
111,12152,50,50
112,13273,49,49
113,13274,47,47
114,15098,63,63
115,15146,68,68
116,15147,74,74
117,15148,66,66
118,12578,68,68
119,12579,62,62
120,15140,68,68
121,15141,64,64
122,15142,72,72
123,15143,74,74
124,15144,60,60
125,15145,67,67
126,12575,65,65
127,15149,68,68
128,15150,68,68
129,15151,67,67
130,15152,65,65
131,16500,65,65
132,12576,73,73
133,12577,73,73
134,15153,81,81
135,15154,70,70
136,15155,71,71
137,15156,73,73
138,15157,71,71
139,15160,66,66
140,15161,66,66
141,15162,71,71
142,15163,72,72
143,15164,76,76
144,15165,67,67
145,15055,60,60
146,15056,57,57
147,15057,65,65
148,9929,69,69
149,9930,72,72
150,15117,55,55
151,15118,59,59
152,15119,63,63
153,15120,65,65
154,15121,66,66
155,15122,61,61
156,15129,57,57
157,15130,58,58
158,15131,59,59
159,15132,59,59
160,15133,66,66
161,15134,66,66
162,15135,60,60
163,15136,63,63
164,15137,65,65
165,15138,68,68
166,15139,63,63
