,strSubID,strHourAvg,strValueAvg
0,371,2,2
1,12118,--,--
2,12119,--,--
3,12120,--,--
4,12494,4,4
5,18020,5,5
6,2,8,8
7,364,5,5
8,368,7,7
9,12493,3,3
10,12495,4,4
11,12572,7,7
12,15040,8,8
13,15041,5,5
14,15042,6,6
15,15043,8,8
16,15044,4,4
17,15045,7,7
18,15046,7,7
19,15047,7,7
20,15048,6,6
21,5,6,6
22,363,6,6
23,15049,5,5
24,15050,5,5
25,15058,6,6
26,15059,6,6
27,15060,6,6
28,15061,6,6
29,15062,7,7
30,15063,8,8
31,15064,6,6
32,15065,5,5
33,15066,6,6
34,15067,6,6
35,15068,7,7
36,15069,4,4
37,15070,6,6
38,15071,5,5
39,7,6,6
40,12492,5,5
41,12792,5,5
42,15072,6,6
43,15073,7,7
44,15074,6,6
45,15075,6,6
46,15076,7,7
47,15077,5,5
48,15078,7,7
49,15079,6,6
50,15080,7,7
51,15081,5,5
52,15082,7,7
53,15083,7,7
54,1,8,8
55,15084,9,9
56,15085,9,9
57,15086,8,8
58,15087,8,8
59,15088,8,8
60,15089,9,9
61,15090,8,8
62,15095,8,8
63,15097,7,7
64,15099,6,6
65,18821,7,7
66,18966,8,8
67,3,8,8
68,366,4,4
69,12573,5,5
70,15100,8,8
71,15101,7,7
72,15102,7,7
73,15103,6,6
74,15104,7,7
75,15105,3,3
76,15106,4,4
77,15107,7,7
78,15108,5,5
79,16503,6,6
80,16504,7,7
81,8,8,8
82,12672,6,6
83,15109,6,6
84,15110,6,6
85,15111,6,6
86,15112,7,7
87,15113,5,5
88,15114,4,4
89,15115,5,5
90,15116,6,6
91,6,6,6
92,365,4,4
93,15166,5,5
94,15167,6,6
95,15169,6,6
96,17700,5,5
97,12110,5,5
98,12111,6,6
99,12112,4,4
100,12113,2,2
101,12117,3,3
102,12153,5,5
103,12154,4,4
104,13271,-2,-2
105,13272,4,4
106,13275,4,4
107,13276,5,5
108,13277,4,4
109,13278,2,2
110,12115,6,6
111,12116,4,4
112,12152,6,6
113,13273,3,3
114,13274,4,4
115,15098,7,7
116,15146,5,5
117,15147,2,2
118,15148,5,5
119,12578,5,5
120,12579,6,6
121,15140,6,6
122,15141,7,7
123,15142,6,6
124,15143,6,6
125,15144,6,6
126,15145,5,5
127,12574,6,6
128,12575,5,5
129,15149,5,5
130,15150,6,6
131,15151,4,4
132,15152,6,6
133,16500,5,5
134,12576,5,5
135,12577,4,4
136,15153,3,3
137,15154,5,5
138,15155,3,3
139,15156,4,4
140,15157,4,4
141,15160,5,5
142,15161,6,6
143,15162,5,5
144,15163,4,4
145,15164,4,4
146,15165,6,6
147,15055,2,2
148,15056,3,3
149,15057,4,4
150,9929,5,5
151,15117,--,5
152,15118,5,5
153,15119,5,5
154,15120,6,6
155,15121,3,3
156,15122,5,5
157,15129,4,4
158,15130,6,6
159,15131,4,4
160,15132,6,6
161,15133,5,5
162,15134,1,1
163,15135,4,4
164,15136,6,6
165,15137,5,5
166,15138,5,5
167,15139,4,4
