,strSubID,strHourAvg,strValueAvg
0,12493,北_0,北_0
1,15050,南_2,南_2
2,15065,西_0,西_0
3,4,西南_1,西南_1
4,15084,西南_1,西南_1
5,15099,西南_0,西南_0
6,12573,南_2,南_2
7,15108,东南_2,东南_2
8,6,南_1,南_1
9,15166,东南_0,东南_0
10,12117,东北_0,东北_0
11,12115,东_0,东_0
12,15098,东_2,东_2
13,15140,南_1,南_1
14,15143,东南_2,东南_2
15,15161,西南_2,西南_2
16,15055,东南_1,东南_1
17,15117,东北_1,东北_1
18,15119,南_1,南_1
19,15136,西南_2,西南_2
20,371,西南_6,西南_6
21,15044,东南_1,东南_1
22,15048,西南_1,西南_1
23,15067,西南_1,西南_1
24,7,南_0,南_0
25,15076,北_0,北_0
26,15082,南_1,南_1
27,15087,西_1,西_1
28,8,西_2,西_2
29,15112,东南_4,东南_4
30,15114,南_1,南_1
31,15116,东南_4,东南_4
32,15169,西南_2,西南_2
33,17700,北_0,北_0
34,12110,北_114,北_114
35,13276,北_0,北_0
36,15144,南_1,南_1
37,15149,东南_2,东南_2
38,12577,东_1,东_1
39,15154,南_2,南_2
40,15121,东_2,东_2
41,15132,南_1,南_1
42,15133,东南_2,东南_2
43,12120,北_0,北_0
44,15081,南_2,南_2
45,15083,东南_2,东南_2
46,15085,西_0,西_0
47,15097,南_1,南_1
48,18821,西_1,西_1
49,15109,南_1,南_1
50,15111,南_3,南_3
51,15167,南_1,南_1
52,12111,东北_0,东北_0
53,12155,北_0,北_0
54,12152,北_0,北_0
55,13274,东南_0,东南_0
56,12154,北_0,北_0
57,15156,南_3,南_3
58,15160,南_2,南_2
59,15164,南_1,南_1
60,9930,西南_1,西南_1
61,15040,西_1,西_1
62,15068,南_2,南_2
63,15071,南_1,南_1
64,15072,南_2,南_2
65,15073,西南_0,西南_0
66,15074,南_2,南_2
67,15078,西南_1,西南_1
68,15079,南_2,南_2
69,12153,北_0,北_0
70,12578,东北_1,东北_1
71,12579,南_2,南_2
72,15142,南_1,南_1
73,15150,南_2,南_2
74,15155,西南_1,西南_1
75,15120,东南_1,东南_1
76,15137,南_0,南_0
77,12494,南_4,南_4
78,2,北_0,北_0
79,15041,南_3,南_3
80,5,西北_1,西北_1
81,15060,西南_1,西南_1
82,15063,西_1,西_1
83,15070,西南_2,西南_2
84,12492,西南_1,西南_1
85,1,西北_2,西北_2
86,15086,西_0,西_0
87,15102,西_1,西_1
88,16503,东南_1,东南_1
89,16504,南_2,南_2
90,15110,东南_2,东南_2
91,15153,西北_0,西北_0
92,15157,南_1,南_1
93,15056,东北_2,东北_2
94,9929,南_2,南_2
95,15131,东南_1,东南_1
96,15135,南_1,南_1
97,15139,南_1,南_1
98,12119,北_0,北_0
99,18020,西南_0,西南_0
100,368,西南_1,西南_1
101,12495,北_0,北_0
102,15045,西南_1,西南_1
103,15062,南_1,南_1
104,15066,西南_2,西南_2
105,15075,西北_1,西北_1
106,362,西南_1,西南_1
107,15090,西南_1,西南_1
108,15095,西_1,西_1
109,15103,南_1,南_1
110,15107,东南_1,东南_1
111,15115,东南_1,东南_1
112,12112,东北_1,东北_1
113,13271,东_0,东_0
114,13277,西_1,西_1
115,13278,东_9,东_9
116,15141,东南_4,东南_4
117,15145,南_1,南_1
118,12575,东南_0,东南_0
119,15151,南_2,南_2
120,15152,西南_3,西南_3
121,15162,西南_2,西南_2
122,15163,南_1,南_1
123,15057,东南_1,东南_1
124,15122,西南_0,西南_0
125,15138,南_2,南_2
126,12118,北_0,北_0
127,15046,北_2,北_2
128,363,东南_1,东南_1
129,15058,西北_1,西北_1
130,15059,西南_1,西南_1
131,15080,西北_1,西北_1
132,15096,西南_1,西南_1
133,3,西南_0,西南_0
134,15101,西南_2,西南_2
135,15104,东北_1,东北_1
136,15105,东南_0,东南_0
137,15106,东南_1,东南_1
138,15113,南_1,南_1
139,13272,西_0,西_0
140,15146,东南_2,东南_2
141,12576,南_1,南_1
142,15118,东南_3,东南_3
143,15129,南_1,南_1
144,15134,西_1,西_1
145,12572,南_0,南_0
146,15042,西_1,西_1
147,15043,南_1,南_1
148,15047,南_1,南_1
149,15049,东_2,东_2
150,15061,西南_1,西南_1
151,15064,西北_1,西北_1
152,15069,东南_1,东南_1
153,12792,东南_1,东南_1
154,15077,西_0,西_0
155,15088,东北_0,东北_0
156,15089,东南_2,东南_2
157,18966,南_1,南_1
158,366,东南_2,东南_2
159,15100,西南_1,西南_1
160,12672,西南_3,西南_3
161,12113,东_0,东_0
162,13275,南_0,南_0
163,13273,北_0,北_0
164,15148,南_1,南_1
165,16500,东南_2,东南_2
166,15165,南_3,南_3
