,AirCOId,AirCOName,AirNO2Id,AirNO2Name,AirO3_1Id,AirO3_1Name,AirO3_8Id,AirO3_8Name,AirPM10Id,AirPM10Name,AirPM2_5Id,AirPM2_5Name,AirSO2Id,AirSO2Name,COIaqi,COvalue,KZJB,Level,MAXAQI,NO2Iaqi,NO2value,O3_1Iaqi,O3_1value,O3_8Iaqi,O3_8value,PM10Iaqi,PM10value,PM2_5Iaqi,PM2_5value,Proposal,SO2Iaqi,SO2value,SubID,c0003_stcode,c0003_stname,pName,streetown,time
0,106,一氧化碳,141,二氧化氮,108,臭氧,108,臭氧_8,107,PM10,601,PM2.5,101,二氧化硫,17,1621,"国控,省控,市控",,109,76,151,11,34,98,157,103,156,109,82,,6,18,1,370105,天桥区,济南四建,,/Date(1603706400000+0800)/
1,106,一氧化碳,141,二氧化氮,108,臭氧,108,臭氧_8,107,PM10,601,PM2.5,101,二氧化硫,25,2410,"国控,省控,市控,街镇",,120,95,190,2,6,96,155,120,189,102,76,,6,18,2,370102,历下区,市监测站,建筑新村街道办事处,/Date(1603706400000+0800)/
2,106,一氧化碳,141,二氧化氮,108,臭氧,108,臭氧_8,107,PM10,601,PM2.5,101,二氧化硫,16,1566,"国控,省控,市控,街镇",,104,60,120,24,74,106,166,104,157,99,74,,6,16,3,370112,历城区,省种子仓库,洪家楼街道办事处,/Date(1603706400000+0800)/
3,106,一氧化碳,141,二氧化氮,108,臭氧,108,臭氧_8,107,PM10,601,PM2.5,101,二氧化硫,19,1842,"国控,省控,市控,街镇",,118,60,120,5,16,96,155,118,186,117,88,,5,15,4,370104,槐荫区,机床二厂,南辛庄街道办事处,/Date(1603706400000+0800)/
4,106,一氧化碳,141,二氧化氮,108,臭氧,108,臭氧_8,107,PM10,601,PM2.5,101,二氧化硫,12,1151,"国控,省控,市控,街镇",,91,32,64,39,122,127,189,91,132,84,62,,6,16,5,370103,市中区,科干所,十六里河街道办事处,/Date(1603706400000+0800)/
5,106,一氧化碳,141,二氧化氮,108,臭氧,108,臭氧_8,107,PM10,601,PM2.5,101,二氧化硫,15,1451,"国控,省控,市控,街镇",,105,86,172,10,31,85,142,105,159,88,65,,4,12,6,370114,高新区,开发区,舜华路街道办事处,/Date(1603706400000+0800)/
6,106,一氧化碳,141,二氧化氮,108,臭氧,108,臭氧_8,107,PM10,601,PM2.5,101,二氧化硫,13,1252,"国控,省控,市控,街镇",,96,57,114,14,42,95,154,96,142,82,60,,4,11,7,370104,槐荫区,农科所,匡山街道办事处,/Date(1603706400000+0800)/
7,106,一氧化碳,141,二氧化氮,108,臭氧,108,臭氧_8,107,PM10,601,PM2.5,101,二氧化硫,11,1100,"国控,省控,市控,街镇",,100,28,56,49,156,123,185,100,149,90,67,,6,17,8,370113,长清区,长清党校,文昌街道办事处,/Date(1603706400000+0800)/
8,106,一氧化碳,141,二氧化氮,108,臭氧,108,臭氧_8,107,PM10,601,PM2.5,101,二氧化硫,11,1024,"省控,市控",,115,58,116,19,59,85,141,114,178,115,87,,5,14,362,370105,天桥区,北园街道,,/Date(1603706400000+0800)/
9,106,一氧化碳,141,二氧化氮,108,臭氧,108,臭氧_8,107,PM10,601,PM2.5,101,二氧化硫,8,740,"省控,市控",,115,35,69,30,95,108,168,115,179,95,71,,5,13,363,370103,市中区,山东鲁能,,/Date(1603706400000+0800)/
10,106,一氧化碳,141,二氧化氮,108,臭氧,108,臭氧_8,107,PM10,601,PM2.5,101,二氧化硫,8,789,"省控,市控,街镇",,84,22,43,46,147,119,180,80,109,84,62,,4,12,364,370102,历下区,经济学院,姚家街道办事处,/Date(1603706400000+0800)/
11,106,一氧化碳,141,二氧化氮,108,臭氧,108,臭氧_8,107,PM10,601,PM2.5,101,二氧化硫,9,834,"省控,市控",,102,47,94,30,93,100,159,102,153,89,66,,5,13,365,370114,高新区,东城逸家小学,,/Date(1603706400000+0800)/
12,106,一氧化碳,141,二氧化氮,108,臭氧,108,臭氧_8,107,PM10,601,PM2.5,101,二氧化硫,12,1162,"省控,市控,街镇",,235,91,182,5,13,97,156,235,374,127,96,,5,14,366,370112,历城区,建工学院,港沟街道办事处,/Date(1603706400000+0800)/
